"community","N","n_treated","p_value","statistic","focal_assignments","d00","d01","d10","d11","runtime_sec","valid_p_value","status"
"comm_33",1987,198,0.0595131288748234,1.95074962151108,14,1141,648,147,51,37.1287591457367,TRUE,"ok"
"comm_28",1138,113,0.977422744315118,0,14,487,538,46,67,21.4255599975586,TRUE,"ok"
"comm_68",1393,139,0.0689605059867193,3.07530408287143,13,718,536,83,56,25.4730448722839,TRUE,"ok"
"comm_57",1193,119,0.0150749030456479,1.94832316988501,13,628,446,66,53,19.9073059558868,TRUE,"ok"
"comm_69",893,89,0.898652960113915,0.087091118550341,13,332,472,27,62,14.5570731163025,TRUE,"ok"
