"community","N","n_treated","n_eligible","eligible_frac","p_value","statistic","focal_assignments","d00","d01","d10","d11","runtime_sec","valid_p_value","status"
"comm_33",1987,198,497,0.25,0.170169814740523,0.513871318258076,12,915,874,40,158,551.922121047974,TRUE,"ok"
"comm_28",1138,113,285,0.25,0.0767391122376116,2.2266104361295,12,428,597,5,108,291.846332788467,TRUE,"ok"
"comm_68",1393,139,349,0.25,0.0819561192998663,1.09320965203675,19,647,607,25,114,378.72589302063,TRUE,"ok"
"comm_57",1193,119,299,0.25,0.0593083961201566,1.04084607045013,13,558,516,11,108,316.840773820877,TRUE,"ok"
"comm_69",893,89,224,0.25,0.328742180825569,0.440126412104547,12,338,466,6,83,227.25212597847,TRUE,"ok"
