"community","N","n_treated","n_eligible","eligible_frac","p_value","statistic","focal_assignments","d00","d01","d10","d11","runtime_sec","valid_p_value","status"
"comm_75",994,99,249,0.25,0.0846799357760964,0.948223498566403,13,304,591,7,92,117.569565057755,TRUE,"ok"
"comm_61",1743,174,436,0.25,0.0126497409521387,1.15354880147975,12,772,797,23,151,1781.06902313232,TRUE,"ok"
"comm_15",1062,106,266,0.25,0.256035019733155,1.30622311898786,12,369,587,7,99,246.600377082825,TRUE,"ok"
"comm_6",108,10,27,0.25,0.180151865817606,0.866770077017398,14,46,52,2,8,22.7275080680847,TRUE,"ok"
"comm_69",893,89,224,0.25,0.328742180825569,0.440126412104547,12,338,466,6,83,214.605823040009,TRUE,"ok"
